location,price,precio_estimado,diferencia_pct,sobrevaluado,subvaluado,m2,recamaras,banos,Lujo,Amueblado,colonia
"Ladrillera, Monterrey",22400,21758.353606752076,2.948965739065879,False,False,,3.0,,1,1,Ladrillera
"Centro, Monterrey",14500,14923.608835680347,-2.838514734234756,False,False,,3.0,,1,1,Centro
"Contry, Monterrey",11000,16919.452274398904,-34.98607507144733,False,True,,4.0,,1,1,Contry
"Centro, Monterrey",14700,13576.780234389018,8.273093813258804,False,False,,3.0,,0,0,Centro
"Hacienda Santa Clara, Monterrey",18500,17490.35265792685,5.772595680714099,False,False,80.0,2.0,2.0,0,1,Hacienda Santa Clara
"Roma, Monterrey",10000,10383.83283191829,-3.696446563916618,False,False,,,,0,1,Roma
"Colinas de San Jerónimo, Monterrey",23500,27829.652095929137,-15.557693933811231,False,False,158.0,3.0,2.0,0,0,Colinas de San Jerónimo
"Centro, Monterrey",23000,21544.03921528638,6.758067835675667,False,False,63.0,2.0,2.0,1,1,Centro
"San Jerónimo, Monterrey",30000,29306.72435779645,2.3655855691668846,False,False,100.0,2.0,2.0,1,1,San Jerónimo
"Santa María, Monterrey",33000,33063.488805416986,-0.19202088984204307,False,False,140.0,3.0,2.0,1,1,Santa María
"Acero, Monterrey",19000,13331.349746150823,42.52120274232467,True,False,55.0,1.0,1.0,1,1,Acero
"Dinastía , Monterrey",24000,23998.048348885164,0.0081325409735934,False,False,102.0,1.0,1.0,1,1,Dinastía
"Monterrey, Nuevo León",26000,36738.52011189892,-29.22959356879733,False,True,158.0,3.0,3.0,0,1,Monterrey
"Santa María, Monterrey",27000,28149.033737303413,-4.08196511477657,False,False,136.0,2.0,2.0,1,0,Santa María
"Cumbres 5to Sector, Monterrey",27000,26438.521606778628,2.123713275546442,False,False,180.0,3.0,3.0,0,1,Cumbres 5to Sector
"Contry Tesoro, Monterrey",8500,8373.792713317156,1.5071699408337602,False,False,1.0,1.0,1.0,0,1,Contry Tesoro
"Centro, Monterrey",26000,24521.74165951783,6.0283578589467846,False,False,70.0,2.0,2.0,1,1,Centro
"Obispado, Monterrey",26500,25441.869166724337,4.1590137357502135,False,False,90.0,2.0,2.0,0,1,Obispado
"Centro, Monterrey",11500,12444.206503370107,-7.587518763164207,False,False,49.0,1.0,1.0,0,0,Centro
"Roma Sur, Monterrey",14500,13737.649962160358,5.549348250534083,False,False,35.0,1.0,1.0,0,1,Roma Sur
"Buenos Aires, Monterrey",9000,9088.66148105831,-0.9755174757371041,False,False,250.0,2.0,2.0,0,0,Buenos Aires
"Obispado, Monterrey",26000,26187.59420404018,-0.7163476055820241,False,False,90.0,2.0,2.0,1,0,Obispado
"Satélite Miradores 1er Sector, Monterrey",22500,22534.100508950058,-0.15132846743322956,False,False,100.0,2.0,2.0,1,0,Satélite Miradores 1er Sector
"Lomas, Monterrey",16000,12412.443543483043,28.9029025102841,True,False,124.0,1.0,1.0,0,1,Lomas
"Tecnológico, Monterrey",10000,10967.871822562769,-8.824609169590156,False,False,39.0,,,0,1,Tecnológico
"Centro, Monterrey",39000,36012.8068447529,8.294807922427564,False,False,99.0,3.0,2.0,1,0,Centro
"Del Paseo Residencial, Monterrey",35000,35913.44155168485,-2.543453125677953,False,False,90.0,2.0,2.0,1,0,Del Paseo Residencial
"Puerta de Hierro Cumbres, Monterrey",16500,16545.290578892233,-0.27373698078178427,False,False,90.0,2.0,2.0,1,1,Puerta de Hierro Cumbres
"Santa María, Monterrey",35000,33978.037953390136,3.0077135354659243,False,False,110.0,2.0,2.0,1,0,Santa María
"San Jerónimo, Monterrey",35000,35216.98735918121,-0.6161440130245471,False,False,102.0,2.0,2.0,1,1,San Jerónimo
"Centro, Monterrey",10500,18075.395080589125,-41.909983415655574,False,True,35.0,1.0,1.0,0,0,Centro
"Ladrillera, Monterrey",32000,28315.405353679627,13.01268549857279,False,False,128.0,2.0,2.0,1,1,Ladrillera
